step,train_loss,train_loss_l,train_loss_u,val_loss,val_acc,pseudo_acc,accepted
40,4.4776,4.4775,0.0001,4.5173,0.0240,0.0000,4
80,4.2651,4.2649,0.0002,4.5173,0.0240,0.0000,1
120,4.1334,4.1334,0.0000,4.5173,0.0240,0.0000,0
160,4.0542,4.0542,0.0000,4.5173,0.0240,0.0000,0
200,3.9649,3.9649,0.0000,4.5173,0.0240,0.0000,0
240,3.9553,3.9553,0.0000,4.5173,0.0240,1.0000,1
280,3.8820,3.8820,0.0000,4.5173,0.0240,0.0000,0
320,3.7989,3.7989,0.0000,4.5173,0.0240,0.0000,0
360,3.7390,3.7390,0.0000,4.5173,0.0240,0.0000,0
400,3.7059,3.7059,0.0000,4.5173,0.0240,0.0000,0
440,3.7071,3.7071,0.0000,4.5173,0.0240,0.6667,3
480,3.6443,3.6443,0.0000,4.5173,0.0240,0.0000,0
520,3.6445,3.6445,0.0000,4.5380,0.0650,0.0000,0
560,3.5675,3.5673,0.0003,4.5380,0.0650,1.0000,1
600,3.5822,3.5822,0.0000,4.5380,0.0650,0.6667,3
640,3.4935,3.4935,0.0000,4.5380,0.0650,0.0000,1
680,3.4458,3.4458,0.0000,4.5380,0.0650,1.0000,1
720,3.4065,3.4065,0.0000,4.5380,0.0650,0.0000,0
760,3.4593,3.4591,0.0002,4.5380,0.0650,1.0000,3
800,3.3722,3.3722,0.0000,4.5380,0.0650,1.0000,1
840,3.2882,3.2875,0.0008,4.5380,0.0650,0.6667,3
880,3.3308,3.3308,0.0000,4.5380,0.0650,0.0000,1
920,3.2595,3.2592,0.0004,4.5380,0.0650,1.0000,4
960,3.1807,3.1803,0.0005,4.5380,0.0650,0.5714,7
1000,3.1292,3.1291,0.0001,4.9048,0.0900,0.6000,5
1040,3.1331,3.1331,0.0000,4.9048,0.0900,0.3333,3
1080,3.0439,3.0437,0.0002,4.9048,0.0900,0.8000,5
1120,3.0476,3.0472,0.0004,4.9048,0.0900,0.8000,5
1160,3.0517,3.0488,0.0028,4.9048,0.0900,0.7143,14
1200,2.9615,2.9589,0.0026,4.9048,0.0900,0.6800,25
1240,2.9335,2.9330,0.0005,4.9048,0.0900,0.8000,5
1280,2.8438,2.8416,0.0022,4.9048,0.0900,0.7273,22
1320,2.8320,2.8299,0.0021,4.9048,0.0900,0.8500,20
1360,2.8212,2.8176,0.0036,4.9048,0.0900,0.7000,30
1400,2.8256,2.8221,0.0035,4.9048,0.0900,0.6071,28
1440,2.6958,2.6941,0.0017,4.9048,0.0900,0.8000,15
1480,2.6196,2.6163,0.0033,4.9048,0.0900,0.8000,25
1520,2.6144,2.6096,0.0048,6.4752,0.0780,0.8750,40
1560,2.5852,2.5809,0.0044,6.4752,0.0780,0.8462,39
1600,2.4851,2.4781,0.0070,6.4752,0.0780,0.7667,60
1640,2.5283,2.5233,0.0051,6.4752,0.0780,0.7234,47
1680,2.4281,2.4220,0.0060,6.4752,0.0780,0.9245,53
1720,2.4035,2.3921,0.0114,6.4752,0.0780,0.8052,77
1760,2.3218,2.3068,0.0150,6.4752,0.0780,0.8527,129
1800,2.4068,2.3946,0.0122,6.4752,0.0780,0.8462,91
1840,2.3233,2.3100,0.0134,6.4752,0.0780,0.8692,107
1880,2.3098,2.2998,0.0099,6.4752,0.0780,0.8068,88
1920,2.2727,2.2558,0.0169,6.4752,0.0780,0.7985,134
1960,2.1562,2.1399,0.0163,6.4752,0.0780,0.8529,136
2000,2.1139,2.0966,0.0174,5.7896,0.1210,0.8306,124
2040,2.1064,2.0874,0.0190,5.7896,0.1210,0.8443,167
2080,2.0121,1.9875,0.0246,5.7896,0.1210,0.8177,203
2120,2.0276,2.0004,0.0272,5.7896,0.1210,0.8393,224
2160,2.0800,2.0555,0.0244,5.7896,0.1210,0.7740,177
2200,1.9635,1.9283,0.0352,5.7896,0.1210,0.8462,273
2240,1.9605,1.9246,0.0359,5.7896,0.1210,0.7811,265
2280,1.9722,1.9345,0.0377,5.7896,0.1210,0.7534,296
2320,1.8502,1.8079,0.0423,5.7896,0.1210,0.7563,320
2360,1.7257,1.6814,0.0443,5.7896,0.1210,0.8509,369
2400,1.8554,1.8085,0.0469,5.7896,0.1210,0.7108,408
2440,1.8281,1.7856,0.0425,5.7896,0.1210,0.8300,347
2480,1.8110,1.7581,0.0528,5.7896,0.1210,0.7762,429
2520,1.9079,1.8584,0.0495,6.6861,0.1270,0.7235,387
2560,1.9097,1.8582,0.0515,6.6861,0.1270,0.7620,374
2600,1.7311,1.6849,0.0462,6.6861,0.1270,0.8170,388
2640,1.5971,1.5364,0.0608,6.6861,0.1270,0.8040,500
2680,1.5864,1.5241,0.0623,6.6861,0.1270,0.7888,535
2720,1.5270,1.4577,0.0693,6.6861,0.1270,0.7753,503
2760,1.5264,1.4414,0.0850,6.6861,0.1270,0.8030,599
2800,1.4168,1.3415,0.0753,6.6861,0.1270,0.7926,593
2840,1.3924,1.3097,0.0826,6.6861,0.1270,0.7212,642
2880,1.2695,1.1663,0.1031,6.6861,0.1270,0.7745,816
2920,1.4186,1.3205,0.0982,6.6861,0.1270,0.7281,732
2960,1.3389,1.2432,0.0958,6.6861,0.1270,0.7265,724
3000,1.2698,1.1696,0.1002,5.1471,0.1380,0.7644,781
3040,1.3809,1.2734,0.1076,5.1471,0.1380,0.7120,823
3080,1.5048,1.4083,0.0964,5.1471,0.1380,0.7043,761
3120,1.4881,1.3867,0.1014,5.1471,0.1380,0.7293,809
3160,1.2369,1.1264,0.1105,5.1471,0.1380,0.7512,860
3200,1.1881,1.0729,0.1153,5.1471,0.1380,0.7364,903
3240,1.3666,1.2463,0.1203,5.1471,0.1380,0.7016,898
3280,1.2753,1.1673,0.1081,5.1471,0.1380,0.7461,831
3320,1.3174,1.1819,0.1355,5.1471,0.1380,0.7179,996
3360,1.2450,1.1296,0.1154,5.1471,0.1380,0.7346,878
3400,1.2259,1.0940,0.1319,5.1471,0.1380,0.7394,990
3440,1.0675,0.9297,0.1378,5.1471,0.1380,0.7343,1133
3480,1.0199,0.8756,0.1443,5.1471,0.1380,0.7178,1109
3520,1.0109,0.8546,0.1563,5.1654,0.1730,0.7192,1136
3560,1.2546,1.1251,0.1295,5.1654,0.1730,0.6986,1065
3600,1.1868,1.0545,0.1322,5.1654,0.1730,0.7211,1011
3640,1.1094,0.9410,0.1683,5.1654,0.1730,0.6984,1240
3680,1.1461,1.0069,0.1392,5.1654,0.1730,0.7062,1072
3720,0.9893,0.8534,0.1359,5.1654,0.1730,0.6918,1155
3760,1.0489,0.8753,0.1737,5.1654,0.1730,0.7074,1261
3800,1.1518,1.0001,0.1518,5.1654,0.1730,0.7024,1146
3840,1.0125,0.8564,0.1561,5.1654,0.1730,0.6946,1287
3880,1.0945,0.9428,0.1517,5.1654,0.1730,0.6732,1126
3920,1.1665,1.0093,0.1572,5.1654,0.1730,0.6871,1160
3960,0.9300,0.7572,0.1729,5.1654,0.1730,0.7347,1376
4000,1.0098,0.8442,0.1656,6.5469,0.1550,0.7011,1308
4040,1.3843,1.2527,0.1316,6.5469,0.1550,0.6637,1005
4080,1.2820,1.1453,0.1367,6.5469,0.1550,0.7129,1111
4120,0.8867,0.7340,0.1528,6.5469,0.1550,0.7293,1230
4160,0.8489,0.6780,0.1709,6.5469,0.1550,0.7153,1363
4200,0.8804,0.7119,0.1685,6.5469,0.1550,0.7224,1293
4240,1.2245,1.0663,0.1582,6.5469,0.1550,0.6549,1185
4280,1.0344,0.8728,0.1616,6.5469,0.1550,0.7034,1251
4320,0.8242,0.6583,0.1660,6.5469,0.1550,0.7053,1442
4360,0.7683,0.5793,0.1890,6.5469,0.1550,0.7038,1590
4400,0.8876,0.7120,0.1756,6.5469,0.1550,0.6718,1496
4440,0.8493,0.6416,0.2077,6.5469,0.1550,0.6770,1641
4480,0.8359,0.6294,0.2065,6.5469,0.1550,0.6794,1681
4520,0.8634,0.6642,0.1992,5.3044,0.2000,0.6894,1610
4560,0.8538,0.6586,0.1952,5.3044,0.2000,0.6797,1639
4600,0.7446,0.5368,0.2078,5.3044,0.2000,0.6984,1714
4640,0.7715,0.5650,0.2065,5.3044,0.2000,0.7070,1744
4680,0.7923,0.5779,0.2144,5.3044,0.2000,0.6613,1801
4720,0.8541,0.6524,0.2017,5.3044,0.2000,0.6891,1756
4760,0.7853,0.5734,0.2119,5.3044,0.2000,0.6762,1748
4800,0.7098,0.4938,0.2159,5.3044,0.2000,0.7003,1802
4840,0.8488,0.6416,0.2072,5.3044,0.2000,0.6287,1810
4880,0.8271,0.6006,0.2265,5.3044,0.2000,0.6828,1816
4920,0.9664,0.7516,0.2148,5.3044,0.2000,0.6812,1772
4960,0.8072,0.6003,0.2068,5.3044,0.2000,0.6939,1692
5000,0.8524,0.6529,0.1996,4.9440,0.2190,0.6710,1684
5040,0.7982,0.5799,0.2183,4.9440,0.2190,0.6749,1772
5080,0.8549,0.6439,0.2111,4.9440,0.2190,0.6705,1724
5120,0.7830,0.5824,0.2005,4.9440,0.2190,0.6886,1718
5160,0.6768,0.4557,0.2210,4.9440,0.2190,0.6783,1899
5200,0.8257,0.6305,0.1952,4.9440,0.2190,0.6923,1703
5240,0.5801,0.3400,0.2401,4.9440,0.2190,0.6982,2041
5280,0.7459,0.5230,0.2229,4.9440,0.2190,0.6898,1947
5320,1.0995,0.9035,0.1960,4.9440,0.2190,0.6708,1622
5360,0.6518,0.4353,0.2165,4.9440,0.2190,0.7015,1926
5400,0.5813,0.3536,0.2277,4.9440,0.2190,0.6866,2036
5440,0.6285,0.3699,0.2586,4.9440,0.2190,0.7008,2176
5480,0.8008,0.5871,0.2137,4.9440,0.2190,0.6832,1837
5520,0.6807,0.4539,0.2268,4.8285,0.2010,0.6825,1956
5560,0.7041,0.4766,0.2275,4.8285,0.2010,0.6853,2021
5600,0.7421,0.5224,0.2198,4.8285,0.2010,0.6746,1924
5640,0.6671,0.4339,0.2333,4.8285,0.2010,0.6760,2025
5680,0.7984,0.5724,0.2260,4.8285,0.2010,0.6635,1991
5720,0.6465,0.4054,0.2411,4.8285,0.2010,0.6814,2087
5760,0.6283,0.3848,0.2436,4.8285,0.2010,0.6995,2296
5800,0.8746,0.6497,0.2249,4.8285,0.2010,0.6770,1960
5840,0.7058,0.4938,0.2121,4.8285,0.2010,0.6898,1999
5880,0.6751,0.4666,0.2086,4.8285,0.2010,0.6788,1971
5920,0.8148,0.5949,0.2199,4.8285,0.2010,0.6378,1908
5960,0.6326,0.4051,0.2275,4.8285,0.2010,0.6816,2051
6000,0.5811,0.3312,0.2499,6.8488,0.1760,0.7068,2261
6040,1.0321,0.8175,0.2146,6.8488,0.1760,0.6486,1804
6080,0.7146,0.5164,0.1983,6.8488,0.1760,0.6846,1817
6120,0.7000,0.4645,0.2355,6.8488,0.1760,0.6941,2105
6160,0.7290,0.5144,0.2146,6.8488,0.1760,0.6809,1940
6200,0.6923,0.4610,0.2313,6.8488,0.1760,0.6909,2009
6240,0.6783,0.4419,0.2365,6.8488,0.1760,0.6754,2132
6280,0.7970,0.5739,0.2232,6.8488,0.1760,0.6701,2022
6320,0.6851,0.4649,0.2201,6.8488,0.1760,0.6804,2093
6360,0.5721,0.3374,0.2347,6.8488,0.1760,0.7025,2141
6400,0.5995,0.3480,0.2516,6.8488,0.1760,0.6931,2245
6440,0.5397,0.2729,0.2669,6.8488,0.1760,0.7006,2488
6480,0.5999,0.3610,0.2389,6.8488,0.1760,0.6818,2341
6520,0.7413,0.5103,0.2310,5.1097,0.2550,0.6655,2212
6560,0.5839,0.3540,0.2299,5.1097,0.2550,0.6979,2244
6600,0.5860,0.3395,0.2466,5.1097,0.2550,0.6687,2336
6640,0.6853,0.4610,0.2242,5.1097,0.2550,0.6799,2246
6680,0.6641,0.4347,0.2295,5.1097,0.2550,0.6692,2113
6720,0.5959,0.3558,0.2401,5.1097,0.2550,0.7045,2281
6760,0.7398,0.5033,0.2365,5.1097,0.2550,0.6458,2123
6800,0.6813,0.4707,0.2106,5.1097,0.2550,0.6848,2145
6840,0.6539,0.4155,0.2383,5.1097,0.2550,0.7060,2153
6880,0.5100,0.2581,0.2520,5.1097,0.2550,0.6928,2464
6920,0.4828,0.2258,0.2570,5.1097,0.2550,0.7093,2635
6960,0.5759,0.3331,0.2429,5.1097,0.2550,0.6773,2442
