step,train_loss,train_loss_l,train_loss_u,val_loss,val_acc,pseudo_acc,accepted
88,4.3395,4.3394,0.0001,4.3439,0.0380,0.2500,4
176,4.0664,4.0664,0.0000,4.3439,0.0380,1.0000,1
264,3.8857,3.8857,0.0000,4.3439,0.0380,0.0000,0
352,3.7864,3.7864,0.0000,4.3439,0.0380,0.0000,0
440,3.7150,3.7150,0.0001,4.3439,0.0380,1.0000,2
528,3.6352,3.6352,0.0000,3.8675,0.0970,0.0000,0
616,3.5535,3.5533,0.0002,3.8675,0.0970,1.0000,3
704,3.4865,3.4865,0.0000,3.8675,0.0970,0.6667,3
792,3.4186,3.4185,0.0002,3.8675,0.0970,1.0000,5
880,3.3639,3.3632,0.0007,3.8675,0.0970,0.9000,10
968,3.2696,3.2686,0.0010,3.8675,0.0970,0.7500,20
1056,3.1842,3.1829,0.0013,4.3551,0.1030,0.8846,26
1144,3.0966,3.0944,0.0022,4.3551,0.1030,0.8837,43
1232,3.0172,3.0159,0.0013,4.3551,0.1030,1.0000,27
1320,2.9407,2.9385,0.0022,4.3551,0.1030,0.9333,60
1408,2.8832,2.8794,0.0038,4.3551,0.1030,0.9759,83
1496,2.8316,2.8265,0.0051,4.3551,0.1030,0.9680,125
1584,2.7654,2.7582,0.0072,4.0913,0.1590,0.9030,165
1672,2.7029,2.6960,0.0069,4.0913,0.1590,0.9742,155
1760,2.6429,2.6309,0.0120,4.0913,0.1590,0.9325,237
1848,2.5782,2.5683,0.0099,4.0913,0.1590,0.9557,203
1936,2.5465,2.5327,0.0138,4.0913,0.1590,0.9476,267
2024,2.5056,2.4898,0.0158,3.3346,0.2280,0.9392,378
2112,2.4724,2.4560,0.0164,3.3346,0.2280,0.9306,360
2200,2.4118,2.3929,0.0189,3.3346,0.2280,0.9617,418
2288,2.3735,2.3508,0.0227,3.3346,0.2280,0.9441,519
2376,2.3042,2.2778,0.0264,3.3346,0.2280,0.9735,566
2464,2.2930,2.2696,0.0234,3.3346,0.2280,0.9632,570
2552,2.2587,2.2332,0.0255,3.4830,0.2250,0.9707,615
2640,2.2056,2.1686,0.0370,3.4830,0.2250,0.9498,797
2728,2.1879,2.1549,0.0330,3.4830,0.2250,0.9511,777
2816,2.1422,2.1026,0.0396,3.4830,0.2250,0.9509,916
2904,2.0934,2.0543,0.0390,3.4830,0.2250,0.9489,901
2992,2.0441,1.9955,0.0487,3.4830,0.2250,0.9489,1155
3080,2.0045,1.9588,0.0458,3.4725,0.2370,0.9362,1129
3168,2.0191,1.9717,0.0473,3.4725,0.2370,0.9561,1138
3256,1.9564,1.9023,0.0542,3.4725,0.2370,0.9487,1305
3344,1.9447,1.8881,0.0566,3.4725,0.2370,0.9504,1370
3432,1.9212,1.8624,0.0588,3.4725,0.2370,0.9509,1487
3520,1.9059,1.8456,0.0603,3.5108,0.2320,0.9480,1500
3608,1.8494,1.7879,0.0615,3.5108,0.2320,0.9502,1605
3696,1.8276,1.7647,0.0630,3.5108,0.2320,0.9485,1689
3784,1.7746,1.7013,0.0733,3.5108,0.2320,0.9396,1855
3872,1.7742,1.7007,0.0735,3.5108,0.2320,0.9467,1932
3960,1.7513,1.6763,0.0749,3.5108,0.2320,0.9547,1943
4048,1.7265,1.6488,0.0777,2.9992,0.2880,0.9487,2047
4136,1.7089,1.6224,0.0865,2.9992,0.2880,0.9486,2259
4224,1.7026,1.6109,0.0918,2.9992,0.2880,0.9413,2486
4312,1.6637,1.5704,0.0932,2.9992,0.2880,0.9329,2488
4400,1.6888,1.5918,0.0970,2.9992,0.2880,0.9457,2467
4488,1.6170,1.5203,0.0967,2.9992,0.2880,0.9415,2682
